Geneid	AY31	AY32	AY33	AY34	AY35	AY36	AY37	AY38	AY39	AY40	AY41	AY42 	AY1	AY2	AY3	AY4	AY5	AY6	AY7	AY8	AY9	AY10	AY11	AY12
YDL246C	17.5	18.5	28.5	36.88	38.33	30.5	30.75	28.25	16.5	27	17.5	26.5	16	65.62	41.21	47.58	39.25	45	58.75	77.75	12.58	13.5	17.5	44.5
YDL243C	76	97	86.5	131.25	135	98.5	104.5	78	74.25	94.5	71.5	85	46	171.75	140.5	102	99	85	104.5	130	54	48	55	97
YDR387C	636.33	495.5	624.06	638.9	1089.75	815.87	1146.54	809	845.1	725.36	907.52	593.72	277.75	791.04	381.8	421.68	675.31	577.43	744.1	1009.73	302.58	400.56	325.09	482.47
YDL094C	3	6	3	12	1.58	3	2	4	4	1.38	5	3.12	1	11	5.05	6	4	3.12	2.12	10.12	1	0	4.5	0.24
YDR438W	138.04	115.04	139.86	187.25	194.47	125.78	189.17	120.99	149.33	120.08	157.61	95	104.28	254.16	139.06	166.67	218.08	219.89	185.5	266.89	60.72	113.35	70	121.39
YDR523C	15	7.38	13	17.09	32	34.25	27.22	28.1	11	24.5	16	19.19	8.12	34.49	18	20.61	39.96	20.49	43.25	53.76	9.12	6	13	16.32
YDR542W	12.49	9.07	13.89	13.5	33.4	20.4	19.16	16.51	22.44	12.89	15.92	14.97	6.05	44.64	17.74	19.31	24.44	36.7	28.45	37.83	7.71	11.4	9.24	14.68
YDR492W	2364	551.18	1876.22	584.32	3151.54	1981.15	3061.88	1846.97	2800.11	847.23	3569.62	682.86	2233.13	5133.65	443.5	496.07	5765.72	4201.88	2492.25	2674.08	1887.88	2932.04	567.5	949.97
YDR018C	65.25	142.67	69.39	204.14	81.17	117.5	100.07	89.25	60.12	130.25	83	116.06	39.38	90.7	139.6	158.42	88.33	67.08	133.37	127.33	28.27	37.21	85.61	116.75
YDL189W	434.12	312.25	429.5	357	805.93	635.75	731.5	555.33	548.61	515.25	602	302.5	374	858.48	312	347.67	769.17	769.5	758	973.81	216	326	202.06	307
YDR508C	2120.17	1405.92	2302.97	1489.68	3808.21	3379.96	3501.91	3196.08	2559.83	2556.67	2874.92	2081.83	1514.58	3559.78	1140.47	1244.64	3924.42	3849.3	4337.44	6492.56	1381.9	1834.93	1317.83	2172.58
YDR462W	149	130.08	156.33	227	344.25	268	254.17	233.08	181.33	167.75	177	130	120.75	297.63	189	171.5	235	247	310	354	103.17	105	112	175.75
YDR175C	102.38	64.58	117.1	101.26	182.62	153.97	154.84	130.29	90.32	80.65	133.41	75.79	70.67	192.19	78.57	66.66	127.61	146.22	171.25	149.13	54.75	56.24	37.83	75.35
YDR186C	2545.83	1309.85	2304.91	1714.84	3548.73	2534.91	3259.6	2299.03	2555.72	2160	3345.43	1587.93	1923.24	4734.63	1253.19	1286.61	4614.82	4055.21	2804.88	3583.5	1556.18	2176.55	951.85	1368.39
YDR150W	3829.63	4475.65	4093.24	5876.4	7016.47	5754.51	5891.49	5042.46	4168.77	4892.75	4655.63	3575.8	2760.23	8124.36	5365.73	6239.67	6679.47	6690.34	8504.23	11455.46	1842.88	2430.97	3282.91	4544.67
YDR243C	180.57	116.18	158.35	153.08	301.06	253.3	290.75	199.79	167.53	181.17	251.26	147.62	99.2	317.07	96.5	99.46	248.86	244.25	242.73	311.99	67	100.55	59.67	106.5
YDL182W	1184.58	328.25	1358.77	307.5	3368.6	3786.25	2738	3121.35	1359.99	584.2	1344.31	474.12	1126.75	3337.19	199.1	289.5	4043.9	2843.96	4573.66	4127.79	1179.92	1152.27	237.4	482.27
YDR362C	161.58	126	155.57	193.01	273.78	218.32	219.49	187.19	183.98	193.02	179.35	120.31	130.85	298.18	170.95	163.56	233.33	244.74	261.3	341.84	97.08	102.6	98.3	163.5
YDR232W	1814.02	1004.81	1855.28	1240.75	3367.44	2266.42	2889.38	2008.21	2456.85	1648.17	2435.13	1446.66	1092.31	3223.3	957.47	896.88	2731.09	2839.64	2320.74	3157.5	887.19	1363.96	778.9	1220.23
YDR158W	3228.52	2725.35	3168.3	3317.45	5988.5	5503.92	4918.5	5059.58	3703.62	3710.67	4106.86	3205.5	2488.75	6336.04	2194.62	2406.02	5075.45	3849.52	4999.13	4869.69	1962.17	2594.46	1725.58	2837.53
YDR439W	242.09	209.08	236.28	274.34	363.18	258.21	318.3	248.79	287.58	301.23	319.17	215.09	145.51	430.39	165.75	207.09	299	299.82	288.5	356.12	103	129.58	115.52	216.83
YDL206W	335.57	337.31	323.35	429.5	594.92	534.35	587.8	515.75	424.95	426.56	528.22	360.12	262.25	521.86	286.42	310.16	498.33	441.95	564.32	948.95	195.25	269.06	226.84	299.69
YDR125C	150.41	66.31	177.18	105.48	355.29	290.4	345.48	271.27	235.75	87.05	243.73	62.41	96.29	269.77	54.22	58.81	289.17	222.04	269.61	429.86	87.12	99.12	41.3	48.38
YDR338C	403.36	237.76	399.81	311.06	702.5	500.26	609.42	425.46	483.87	360.78	513.95	285.94	285.05	661.97	210.64	229.48	628.92	533.92	542.99	703.8	184.92	294.42	168.25	288.56
YDR526C	2.5	0.5	0.5	1.62	7.5	3.5	4.61	2.5	7	0.5	3	0.5	1	5	1	2.5	4	1.5	5.92	6	0	3.25	1	0.5
YDR533C	252.5	228.29	317.58	339.15	654.08	876	694.33	712.79	379.42	457.58	384.08	354.5	110	374.23	201.5	207.4	327.25	215.47	593.48	531.75	116.29	129.27	184.19	340.25
YDR272W	412	400.5	461.83	556.83	681.33	542.5	593.5	455.55	456.5	449	482.33	369.4	394.64	939.13	460.17	494.16	655	585.13	527.02	663.83	185.13	303.71	258.76	450.47
YDR197W	480.36	377.36	512.17	428.7	676.44	558.75	600.33	524.77	549.38	420.25	655.87	348.05	230.5	594.97	203.88	214.41	469.46	362.17	409.63	557.92	181.58	248.58	155	269.96
YDR512C	118.25	80	141.5	137.67	202.57	212.5	186	183.42	109	123.5	126.5	99	144.2	310.44	173.21	148.96	262	225.89	247.22	256.83	104	124.25	105.92	203.9
YDR489W	203.72	185.19	190.44	201.41	346.39	305.35	318.25	274.49	229.55	280.57	266.44	217.78	112.89	336.98	149.81	154.75	287.22	259.04	290.07	355.22	85.44	113.57	125.83	239.94
YDR299W	744.71	339.35	692.33	399.46	1033.25	981.77	947	769.04	707.06	625.21	835.61	403.49	469.18	1265.19	317.14	355.03	1048.76	892.03	1029.06	1166.91	300	405.17	295.65	465.51
YDL015C	2203	1552.99	2286.67	1838.58	3506	2855.5	3333.25	2613	2929.08	2427.09	3060.5	1927.58	1522.12	3254.69	1294.04	1440.33	2741.33	2414.68	2562.5	3332.46	1281.23	1764.25	1204.58	1873.85
YDR304C	1081.32	1071.46	1078.38	1293.08	1274	1030.06	1161	886	1163	1087.64	1218.78	929	938.5	2310.53	1313.93	1324.69	1268.43	1281.47	1150.89	1429.17	687.08	938.92	744.53	1252.86
YDR271C	7.79	15.52	9.79	16.47	24	19.3	21	2.4	14	12.4	20.07	13.59	12.72	27.59	7.48	16	21.83	9.45	15.79	26.39	10.78	15	10	21.18
YDL181W	172	186.1	202.5	260.67	295.5	351	315.75	256	208.5	336.5	228	272.5	99.17	287.55	225.67	188.75	193.5	137.13	273.92	282.25	134.5	96.8	203.5	309.08
YDR367W	283	130	277.33	168.67	581.1	396.25	558.33	362	324.81	185	286.12	119	183.67	552.42	131	164.5	557.27	480	482	587.33	205	236	110.83	207
YDR085C	1057.29	1496.42	1113.12	2158.02	1188.25	1016.89	1079.87	956.62	1182.92	4048.39	1377.85	3167.15	838.04	2028.19	1696	1813.8	895.25	715.65	1065.22	1390.58	465.06	688.33	2050.58	3190.07
YDL097C	1577.64	1637.41	1638.77	1980.83	2844.75	2143.46	2507.52	1983.17	1789.22	1975.5	2041.77	1387	1233.5	3000.02	1563.5	1707.23	2481.98	2273.25	2223.12	2713.5	916.97	1206.83	1063.95	1628.72
YDL139C	34	22.6	33	36.53	56.25	37.25	48.5	38.25	28.75	33.25	46.25	23.5	23.5	93	34.5	33.44	60.75	72.25	50.25	65	23.25	33.75	24	30.5
YDR200C	610.8	625.52	624.23	775.7	947.02	898.04	958.23	838.81	703.09	835.9	847.42	646.44	408.17	1029.5	568.73	717.63	848.97	776.93	933.88	1136.44	295.59	418.08	408.38	599.46
YDR191W	48.2	41.42	65.17	77.08	79.8	60.57	63.52	39.1	60.42	85.05	69.56	56.69	37.54	141.33	70.01	60.91	75.5	91.62	71.59	85.75	28.62	45	43.49	72.65
