# Program:featureCounts v2.0.6; Command:"featureCounts" "-t" "transcript" "-g" "gene_id" "-O" "-s" "2" "-R" "BAM" "-p" "--ignoreDup" "--fraction" "-G" "Saccharomyces_cerevisiae.R64-1-1.106.fa" "-T" "4" "-p" "--countReadPairs" "-a" "aymerge.no_LTR.NO_ref_genes.gtf" "-o" "read_counts_aymerge.txt" "./BAM/AY10_S10_L001.sorted.dedup.bam" "./BAM/AY11_S11_L001.sorted.dedup.bam" "./BAM/AY12_S12_L001.sorted.dedup.bam" "./BAM/AY1_S1_L001.sorted.dedup.bam" "./BAM/AY2_S2_L001.sorted.dedup.bam" "./BAM/AY31_S1_L001.sorted.dedup.bam" "./BAM/AY32_S2_L001.sorted.dedup.bam" "./BAM/AY33_S3_L001.sorted.dedup.bam" "./BAM/AY34_S4_L001.sorted.dedup.bam" "./BAM/AY35_S5_L001.sorted.dedup.bam" "./BAM/AY36_S6_L001.sorted.dedup.bam" "./BAM/AY37_S7_L001.sorted.dedup.bam" "./BAM/AY38_S8_L001.sorted.dedup.bam" "./BAM/AY39_S9_L001.sorted.dedup.bam" "./BAM/AY3_S3_L001.sorted.dedup.bam" "./BAM/AY40_S10_L001.sorted.dedup.bam" "./BAM/AY41_S11_L001.sorted.dedup.bam" "./BAM/AY42_S12_L001.sorted.dedup.bam" "./BAM/AY4_S4_L001.sorted.dedup.bam" "./BAM/AY5_S5_L001.sorted.dedup.bam" "./BAM/AY6_S6_L001.sorted.dedup.bam" "./BAM/AY7_S7_L001.sorted.dedup.bam" "./BAM/AY8_S8_L001.sorted.dedup.bam" "./BAM/AY9_S9_L001.sorted.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	./BAM/AY10_S10_L001.sorted.dedup.bam	./BAM/AY11_S11_L001.sorted.dedup.bam	./BAM/AY12_S12_L001.sorted.dedup.bam	./BAM/AY1_S1_L001.sorted.dedup.bam	./BAM/AY2_S2_L001.sorted.dedup.bam	./BAM/AY31_S1_L001.sorted.dedup.bam	./BAM/AY32_S2_L001.sorted.dedup.bam	./BAM/AY33_S3_L001.sorted.dedup.bam	./BAM/AY34_S4_L001.sorted.dedup.bam	./BAM/AY35_S5_L001.sorted.dedup.bam	./BAM/AY36_S6_L001.sorted.dedup.bam	./BAM/AY37_S7_L001.sorted.dedup.bam	./BAM/AY38_S8_L001.sorted.dedup.bam	./BAM/AY39_S9_L001.sorted.dedup.bam	./BAM/AY3_S3_L001.sorted.dedup.bam	./BAM/AY40_S10_L001.sorted.dedup.bam	./BAM/AY41_S11_L001.sorted.dedup.bam	./BAM/AY42_S12_L001.sorted.dedup.bam	./BAM/AY4_S4_L001.sorted.dedup.bam	./BAM/AY5_S5_L001.sorted.dedup.bam	./BAM/AY6_S6_L001.sorted.dedup.bam	./BAM/AY7_S7_L001.sorted.dedup.bam	./BAM/AY8_S8_L001.sorted.dedup.bam	./BAM/AY9_S9_L001.sorted.dedup.bam
MSTRG.1	I	3146	6318	-	3173	5	14	28.50	9	40	23	23	10	37	59	61	49	55	25	25	29	36	31	17	76	64	99	116.50	6
MSTRG.2	I	9329	9903	+	575	6	5	9	4	12	9	8	10	8	14	24	22	29	12	6	11	6	6	3	31	18	42	26	2
MSTRG.3	I	13225	20988	+	7764	234	204	371	209	555	316	480	305	630	624	525	557	485	406	543	491	440	332	556	525	498	594	902	129
MSTRG.4	I	23071	23636	-	566	2	1	2	3	4	2	12	0	20	9	6	6	8	6	6	6	5	2	16	4	4	5	6	1
MSTRG.5	I	28450	29439	+	990	3	10	8	1	12	5	12	4	26	8	11	9	11	10	25	4	6	6	26	9	15	19	32	3
MSTRG.6	I	30078	30852	+	775	9	6	9	5	24	10	4	18	6	17	15	14	12	8	9	3	5	5	9	14	14	16	26	10
MSTRG.7	I	31230	31566	+	337	158	28	36	106	316	219	32	155	28	106	45	109	40	133	29	19	189	27	30	184	104	39	31	134
MSTRG.8	I	45326	45685	-	360	4	141	189	1	14	22	406	18	551	26	17	16	14	14	247	374	15	278	291	9	4	3	5	3
MSTRG.9	I	65180	68303	-	3124	544	560	673.50	517	1165	784	535	687	697	2000	1776	1876	1575	1443	602	1274	1447	1276.50	607	1432	1387	1629	2079.50	475
MSTRG.10	I	69700	71345	-	1646	22	12	17	12	48	34	24	41	24	66	79	46	61	38	16	40	41	24	24	47	28	75	79	16
MSTRG.11	I	151681	152053	-	373	10	8	20	10	31	18	11	21	22	24	21	39	20	16	4	29	26	17	6	22	16	19	17	9
MSTRG.12	I	175331	176220	+	890	43	43	62	39	99	60	33	53	66	98	85	93	72	64	49	86	83	57	49	76	62	61	72	26
MSTRG.13	I	180143	181044	-	902	19	13	21	11	39	36	27	31	49	46	41	48	43	30	24	52	55	38.50	15	38	42	40	53	12
MSTRG.14	I	182056	182323	-	268	5	12	25	2	8	5	11	1	10	9	5	2	2	5	6	23	11	15	10	0	5	4	4	1
MSTRG.15	I	196544	197556	+	1013	16	3	14	14	41	24	12	18	19	61	65	61	47	33	17	30	36	22	28	55	47	51	88	6
MSTRG.16	I	211150	215443	-	4294	5	12	17	9	59	12	25	14	23	15	11	5	12	15	14	23	12	11	24	11	13	17	25	3
MSTRG.17	I	223181	224106	+	926	0	1	1	0	0	0	2	0	1	1	1	1	2	0	1	2	0	1	2	0	1	2	0	0
MSTRG.18	II	8512	8809	+	298	9	5	11	4	14	6	7	13	9	18	16	24	10	15	5	11	11	4	5	6	12	7	18	2
MSTRG.19	II	28469	29030	-	562	61	21	72	19	130	52	109	101	76	77	100	99	98	62	40	58	165	117	83	48	61	54	99	14
MSTRG.20	II	45205	45533	-	329	0	1	0	2	12	3	3	3	0	1	1	2	2	2	1	4	0	1	0	4	1	3	4	1
MSTRG.21	II	46721	47303	+	583	45	17	49	29	96	40	10	34	24	74	59	62	47	37	27	37	34	27	17	63	59	76	89	38
MSTRG.22	II	169658	169869	.	212	371	414	666	256	691	524	488	542	557	820	742	829	681	618	390	646	706	611	469	672	560	606	769	298
MSTRG.23	II	198490	198695	-	206	1	0	1	0	5	2	0	3	1	2	1	3	1	3	2	2	3	3	1	3	7	8	10	0
MSTRG.24	II	238501	238931	+	431	27	32	56	22	80	57	34	39	50	85	74	97	87	49	33	74	85	54	49	64	39	51	82	21
MSTRG.25	II	251148	252209	+	1062	9	22	33	8	23	18	13	12	35	20	18	18	18	14	27	22	9	19	24	13	10	26	25	4
MSTRG.26	II	254272	254978	-	707	26	14	18	30	49	31	23	21	23	49	35	45	31	27	12	26	33	20	17	39	42	36	49	14
MSTRG.27	II	255940	256185	-	246	6	6	2	6	10	6	6	5	9	7	6	7	7	9	2	12	2	4	2	7	5	3	6	0
MSTRG.28	II	269749	269956	-	208	2	15	30	2	10	3	12	5	20	5	13	6	13	5	29	21	7	26	23	10	9	18	18	4
MSTRG.29	II	287984	289352	+	1369	7	28	37	12	10	14	33	8	39	20	16	17	16	22	32	85	12	43	43	7	11	15	16	3
MSTRG.30	II	307280	308956	+	1677	2368	1842	2706	1621	3351	2227	1858	2368	2037	4094	2622	3343	2418	2866	1364	2440	3077	2354	1759	2897	3008	2441	3453	1791
MSTRG.31	II	326212	326741	+	530	249	211	370	298	641	285	220	298	357	401	334	304	249	250	265	291	243	261	300	377	451	395	349	200
MSTRG.32	II	340989	342199	+	1211	16	15	27	23	49	38	20	35	37	60	35	66	44	51	22	30	59	30	22	35	25	37	41	12
MSTRG.33	II	362827	364711	+	1885	300	241	329	268	602	312	256	344	282	538	514	501	447	414	205	527	384	403	265	606	506	539	662	198
MSTRG.34	II	371321	371867	+	547	4	11	11	4	13	10	13	10	32	32	14	19	23	13	27	21	11	16	19	21	13	26	35	3
MSTRG.35	II	373363	373571	-	209	0	1	1	1	3	0	0	0	3	3	3	4	0	0	0	2	3	0	0	1	0	3	1	0
MSTRG.36	II	407570	408127	+	558	27	5	14	13	56	28	11	25	8	84	49	81	44	40	9	28	27	13	7	62	44	41	49	25
MSTRG.37	II	418355	418654	+	300	8	6	11	6	6	9	8	6	15	14	15	12	19	12	9	16	13	16	5	13	8	15	19	5
MSTRG.38	II	419468	419684	+	217	8	10	14	6	9	12	17	11	18	18	20	21	15	12	7	23	19	11	9	12	10	16	25	3
MSTRG.39	II	431457	431808	-	352	2	7	12	2	10	3	12	8	8	13	12	10	9	10	5	7	8	8	6	10	5	6	4	2
MSTRG.40	II	466052	466334	-	283	0	5	8	1	1	2	2	2	4	4	3	3	4	3	1	4	0	4	5	3	4	5	5	1
MSTRG.41	II	474327	477343	+	3017	114	69	124	89	215	98	106	128	139	231	252	211	187	142	115	142	139	103	123	216	225	310	445	77
MSTRG.42	II	532481	533085	+	605	9	10	18	16	30	21	10	9	9	38	25	24	21	22	11	21	18	8	8	25	18	24	24	11
MSTRG.43	II	549189	549566	-	378	7	2	6	6	19	12	5	11	4	30	27	23	27	10	3	13	19	10	3	19	13	16	22	6
MSTRG.44	II	554823	555250	.	428	96	136	222	75	222	155	163	148	209	238	251	203	223	178	115	262	212	226	155	147	125	201	241	85
MSTRG.45	II	589662	591176	-	1515	18	11	26	20	49	23	19	28	27	64	37	40	35	26	21	53	37	33	21	44	43	34	70	15
MSTRG.46	II	601028	602266	-	1239	66	46	59	49	155	68	45	86	37	121	89	131	64	95	31	67	114	54	32	121	94	99	127	31
MSTRG.47	II	741856	742145	+	290	6	15	19	9	21	13	14	6	18	8	4	11	7	9	31	23	7	14	33	16	8	9	7	4
MSTRG.48	II	785518	786947	+	1430	40	23	45	36	80	35	40	50	33	61	45	51	48	54	37	48	47	28	38	64	48	52	65	23
MSTRG.49	II	799349	800111	-	763	6	19	31	2	16	7	30	12	46	12	15	12	19	15	26	50	16	43	39	12	3	15	11	7
