chromosome	db	type	end5	end3	strand	gene_id	gene_id_up	strand_up	gene_id_down	strand_down
I	StringTie	transcript	3146	6318	-	MSTRG.1	YAL067W-A	+	YAL067C	-
I	StringTie	transcript	9329	9903	+	MSTRG.2	YAL067C	-	YAL066W	+
I	StringTie	transcript	13225	20988	+	MSTRG.3	YAL064W-B	+	YAL064W	+
I	StringTie	transcript	23071	23636	-	MSTRG.4	YAL063C-A	-	YAL063C	-
I	StringTie	transcript	28450	29439	+	MSTRG.5	YAL063C	-	NA	NA
I	StringTie	transcript	30078	30852	+	MSTRG.6	NA	NA	YAL062W	+
I	StringTie	transcript	31230	31566	+	MSTRG.7	NA	NA	YAL062W	+
I	StringTie	transcript	45326	45685	-	MSTRG.8	YAL054C	-	YAL053W	+
I	StringTie	transcript	65180	68303	-	MSTRG.9	YAL041W	+	YAL039C	-
I	StringTie	transcript	69700	71345	-	MSTRG.10	YAL039C	-	YAL038W	+
I	StringTie	transcript	151681	152053	-	MSTRG.11	YAL001C	-	YAR002W	+
I	StringTie	transcript	175331	176220	+	MSTRG.12	YAR019W-A	+	YAR020C	-
I	StringTie	transcript	180143	181044	-	MSTRG.13	YAR023C	-	tL(CAA)A	+
I	StringTie	transcript	182056	182323	-	MSTRG.14	tL(CAA)A	+	tS(AGA)A	-
I	StringTie	transcript	196544	197556	+	MSTRG.15	YAR042W	+	NA	NA
I	StringTie	transcript	211150	215443	-	MSTRG.16	NA	NA	NA	NA
I	StringTie	transcript	223181	224106	+	MSTRG.17	YAR068W	+	YAR070C	-
II	StringTie	transcript	8512	8809	+	MSTRG.18	YBL108W	+	YBL107W-A	+
II	StringTie	transcript	28469	29030	-	MSTRG.19	YBL100W-C	+	YBL100W-B	+
II	StringTie	transcript	45205	45533	-	MSTRG.20	YBL093C	-	YBL092W	+
II	StringTie	transcript	46721	47303	+	MSTRG.21	YBL091C-A	-	YBL091C	-
II	StringTie	transcript	169658	169869	.	MSTRG.22	YBL027W	+	YBL026W	+
II	StringTie	transcript	198490	198695	-	MSTRG.23	tG(GCC)B	-	YBL014C	-
II	StringTie	transcript	238501	238931	+	MSTRG.24	YBL001C	-	YBR001C	-
II	StringTie	transcript	251148	252209	+	MSTRG.25	YBR007C	-	YBR008C	-
II	StringTie	transcript	254272	254978	-	MSTRG.26	YBR008C	-	YBR009C	-
II	StringTie	transcript	255940	256185	-	MSTRG.27	YBR009C	-	YBR010W	+
II	StringTie	transcript	269749	269956	-	MSTRG.28	YBR015C	-	YBR016W	+
II	StringTie	transcript	287984	289352	+	MSTRG.29	YBR023C	-	YBR024W	+
II	StringTie	transcript	307280	308956	+	MSTRG.30	snR161	-	YBR036C	-
II	StringTie	transcript	326212	326741	+	MSTRG.31	YBR044C	-	tV(UAC)B	-
II	StringTie	transcript	340989	342199	+	MSTRG.32	YBR053C	-	YBR054W	+
II	StringTie	transcript	362827	364711	+	MSTRG.33	YBR060C	-	YBR061C	-
II	StringTie	transcript	371321	371867	+	MSTRG.34	YBR066C	-	YBR067C	-
II	StringTie	transcript	373363	373571	-	MSTRG.35	YBR067C	-	YBR068C	-
II	StringTie	transcript	407570	408127	+	MSTRG.36	YBR082C	-	YBR083W	+
II	StringTie	transcript	418355	418654	+	MSTRG.37	YBR085W	+	YBR085C-A	-
II	StringTie	transcript	419468	419684	+	MSTRG.38	YBR085C-A	-	YBR086C	-
II	StringTie	transcript	431457	431808	-	MSTRG.39	YBR093C	-	YBR094W	+
II	StringTie	transcript	466052	466334	-	MSTRG.40	YBR113W	+	YBR114W	+
II	StringTie	transcript	474327	477343	+	MSTRG.41	YBR116C	-	YBR118W	+
II	StringTie	transcript	532481	533085	+	MSTRG.42	YBR143C	-	YBR144C	-
II	StringTie	transcript	549189	549566	-	MSTRG.43	YBR154C	-	YBR155W	+
II	StringTie	transcript	554823	555250	.	MSTRG.44	YBR157C	-	YBR158W	+
II	StringTie	transcript	589662	591176	-	MSTRG.45	YBR179C	-	YBR181C	-
II	StringTie	transcript	601028	602266	-	MSTRG.46	YBR186W	+	YBR187W	+
II	StringTie	transcript	741856	742145	+	MSTRG.47	YBR268W	+	YBR269C	-
II	StringTie	transcript	785518	786947	+	MSTRG.48	YBR292C	-	YBR293W	+
II	StringTie	transcript	799349	800111	-	MSTRG.49	YBR296C	-	YBR296C-A	-
II	StringTie	transcript	804626	804880	-	MSTRG.50	YBR298C	-	YBR298C-A	-
II	StringTie	transcript	807367	808588	+	MSTRG.51	YBR299W	+	YBR300C	-
III	StringTie	transcript	4742	5410	+	MSTRG.52	YCL074W	+	YCL073C	-
III	StringTie	transcript	5729	7641	+	MSTRG.53	NA	NA	NA	NA
III	StringTie	transcript	8007	8439	+	MSTRG.54	YCL073C	-	YCL069W	+
III	StringTie	transcript	9308	10891	-	MSTRG.55	YCL073C	-	YCL068C	-
III	StringTie	transcript	13723	14019	-	MSTRG.56	YCL066W	+	NA	NA
III	StringTie	transcript	29751	30211	+	MSTRG.57	YCL055W	+	YCL054W-A	+
III	StringTie	transcript	112768	113080	-	MSTRG.58	YCL001W	+	YCL001W-A	+
III	StringTie	transcript	113368	114131	-	MSTRG.59	YCL001W-A	+	NA	NA
III	StringTie	transcript	114690	117168	+	MSTRG.60	YCL001W-B	+	YCR002C	-
III	StringTie	transcript	125318	126002	+	MSTRG.61	NA	NA	YCR007C	-
III	StringTie	transcript	127150	127532	-	MSTRG.62	YCR007C	-	tN(GUU)C	+
III	StringTie	transcript	152043	152828	-	MSTRG.63	YCR018C-A	-	YCR019W	+
III	StringTie	transcript	157720	162023	+	MSTRG.64	YCR022C	-	YCR024C-B	-
III	StringTie	transcript	168411	169546	+	MSTRG.65	tQ(UUG)C	-	YCR028C	-
III	StringTie	transcript	176679	176890	-	MSTRG.66	YCR030C	-	snR65	+
III	StringTie	transcript	178907	179144	-	MSTRG.67	snR189	-	YCR032W	+
III	StringTie	transcript	262867	263192	-	MSTRG.68	YCR084C	-	YCR086W	+
III	StringTie	transcript	290803	291238	+	MSTRG.69	YCR095W-A	+	NA	NA
III	StringTie	transcript	294338	294591	-	MSTRG.70	YCR097W	+	tT(AGU)C	+
III	StringTie	transcript	298500	299679	+	MSTRG.71	YCR098C	-	YCR099C	-
III	StringTie	transcript	300311	300575	+	MSTRG.72	NA	NA	YCR099C	-
III	StringTie	transcript	303109	304298	+	MSTRG.73	YCR101C	-	YCR102C	-
III	StringTie	transcript	305985	306548	+	MSTRG.74	YCR102C	-	YCR102W-A	+
III	StringTie	transcript	308267	310299	-	MSTRG.75	YCR104W	+	YCR106W	+
IV	StringTie	transcript	4175	8308	-	MSTRG.76	YDL247W-A	+	YDL246C	-
IV	StringTie	transcript	10988	15231	-	MSTRG.77	YDL246C	-	YDL244W	+
IV	StringTie	transcript	18617	20125	-	MSTRG.78	YDL243C	-	YDL241W	+
IV	StringTie	transcript	21435	21838	+	MSTRG.79	YDL241W	+	YDL240C-A	-
IV	StringTie	transcript	26115	26365	+	MSTRG.80	YDL240W	+	YDL239C	-
IV	StringTie	transcript	48328	49732	-	MSTRG.81	YDL227C	-	YDL226C	-
IV	StringTie	transcript	49796	50918	+	MSTRG.82	NA	NA	YDL226C	-
IV	StringTie	transcript	80794	83355	+	MSTRG.83	YDL211C	-	tG(GCC)D1	+
IV	StringTie	transcript	106534	106949	-	MSTRG.84	YDL197C	-	YDL195W	+
IV	StringTie	transcript	115791	116063	-	MSTRG.85	YDL193W	+	YDL192W	+
IV	StringTie	transcript	132455	132737	-	MSTRG.86	YDL183C	-	YDL182W	+
IV	StringTie	transcript	171962	172204	-	MSTRG.87	YDL160C	-	YDL159W	+
IV	StringTie	transcript	220824	221784	.	MSTRG.88	YDL134C	-	YDL133W	+
IV	StringTie	transcript	221992	222270	-	MSTRG.89	YDL133C-A	-	YDL133W	+
IV	StringTie	transcript	234176	234403	-	MSTRG.90	YDL128W	+	YDL127W	+
IV	StringTie	transcript	267659	267981	-	MSTRG.91	YDL109C	-	YDL107W	+
IV	StringTie	transcript	292353	292632	-	MSTRG.92	YDL093W	+	YDL092W	+
IV	StringTie	transcript	312804	314046	+	MSTRG.93	YDL080C	-	YDL078C	-
IV	StringTie	transcript	321656	321883	+	MSTRG.94	YDL076C	-	YDL075W	+
IV	StringTie	transcript	358117	358902	-	MSTRG.95	YDL055C	-	tK(UUU)D	+
IV	StringTie	transcript	407799	408186	+	MSTRG.96	NA	NA	YDL024C	-
IV	StringTie	transcript	410722	411448	-	MSTRG.97	tA(AGC)D	+	YDL023C	-
IV	StringTie	transcript	431788	432023	+	MSTRG.98	YDL012C	-	YDL011C	-
IV	StringTie	transcript	439364	439667	-	MSTRG.99	YDL007W	+	YDL006W	+
IV	StringTie	transcript	470703	471523	-	MSTRG.100	YDR011W	+	YDR012W	+
IV	StringTie	transcript	476825	477287	+	MSTRG.101	YDR014W	+	YDR014W-A	+
IV	StringTie	transcript	505448	507843	-	MSTRG.102	YDR032C	-	YDR033W	+
IV	StringTie	transcript	538977	539602	-	MSTRG.103	YDR040C	-	YDR041W	+
IV	StringTie	transcript	543626	545959	+	MSTRG.104	YDR043C	-	YDR044W	+
IV	StringTie	transcript	550738	551834	-	MSTRG.105	YDR046C	-	YDR047W	+
IV	StringTie	transcript	593146	593457	-	MSTRG.106	YDR073W	+	YDR074W	+
IV	StringTie	transcript	598208	600416	-	MSTRG.107	YDR075W	+	YDR077W	+
IV	StringTie	transcript	616585	616810	.	MSTRG.108	YDR085C	-	YDR086C	-
IV	StringTie	transcript	617687	618416	+	MSTRG.109	YDR087C	-	YDR088C	-
IV	StringTie	transcript	620271	621706	-	MSTRG.110	tR(ACG)D	-	YDR089W	+
IV	StringTie	transcript	720347	720912	+	MSTRG.111	YDR132C	-	YDR133C	-
IV	StringTie	transcript	794877	795887	-	MSTRG.112	YDR169C-A	-	YDR170C	-
IV	StringTie	transcript	814321	814582	-	MSTRG.113	YDR175C	-	NA	NA
